ident,type,latitude_deg,longitude_deg
00A,heliport,40.070985,-74.933689
00AA,small_airport,38.704022,-101.473911
00AK,small_airport,59.947733,-151.692524
00AL,small_airport,34.864799,-86.770302
00AN,small_airport,59.093287,-156.456699
00AS,small_airport,34.942803,-97.818019
00AZ,small_airport,34.305599,-112.165001
00CA,small_airport,35.354740,-116.885329
00CL,small_airport,39.427188,-121.763427
00CN,heliport,32.727374,-116.459742
00FA,small_airport,28.645500,-82.219002
00FL,small_airport,27.230900,-80.969200
00GA,small_airport,33.767502,-84.068298
00GE,heliport,33.887982,-84.736983
00HI,heliport,19.832881,-155.978347
00ID,small_airport,48.145302,-116.213997
00IG,small_airport,39.724028,-101.395994
00IL,small_airport,41.978401,-89.560402
00IN,heliport,41.511398,-87.260597
00IS,small_airport,40.025600,-89.122902
00KS,small_airport,38.727798,-94.930496
00KY,small_airport,37.409401,-84.619698
00LA,heliport,30.191944,-90.980833
00LL,heliport,39.665298,-89.705597
00LS,small_airport,30.136299,-92.429398
00MD,small_airport,38.757099,-75.753799
00MI,heliport,43.949402,-86.416702
00MN,small_airport,46.299999,-95.700302
00MO,small_airport,37.202801,-94.412399
00MT,heliport,45.675000,-110.525150
00N,small_airport,39.472998,-75.184346
00NC,small_airport,36.085201,-78.371399
00NJ,heliport,40.520901,-74.474602
00NK,seaplane_base,44.811861,-73.369806
00NR,heliport,35.594729,-75.470002
00NY,small_airport,42.895760,-77.495263
00OI,heliport,39.745091,-84.187278
00OK,small_airport,36.198598,-96.217693
00OR,heliport,44.932899,-123.129997
00PA,heliport,39.948898,-75.746902
00PN,small_airport,41.299500,-80.211111
00S,small_airport,44.181466,-122.086000
00SC,small_airport,34.009399,-80.267197
00SD,small_airport,44.809158,-96.498897
00TE,heliport,32.847599,-97.189499
00TS,small_airport,32.607601,-97.241997
00TT,small_airport,34.516606,-99.936940
00VA,small_airport,36.574964,-78.998437
00VI,small_airport,36.663300,-80.499496
00W,small_airport,46.672884,-117.441933
00WA,small_airport,47.178398,-122.772003
00WI,small_airport,44.304298,-89.050102
00WN,small_airport,46.250000,-117.249001
00WV,small_airport,38.828899,-79.866096
00WY,heliport,42.840361,-106.224443
00XA,small_airport,30.224000,-96.014170
01A,small_airport,62.940833,-152.269722
01AK,heliport,60.105874,-149.446249
01AL,small_airport,32.945999,-86.513901
01AN,small_airport,61.649095,-149.339025
01AR,heliport,34.047456,-94.354023
01AZ,heliport,34.607406,-111.860900
01CA,heliport,34.368241,-117.370059
01CL,small_airport,38.799900,-120.734001
01CO,heliport,39.245300,-106.246002
01CT,heliport,41.627300,-72.727501
01FA,small_airport,28.589399,-81.144203
01FD,heliport,28.666639,-81.369700
01FL,small_airport,28.781900,-81.159203
01GA,heliport,32.479301,-84.979103
01GE,small_airport,32.675106,-82.771055
01ID,small_airport,42.608200,-112.031998
01II,small_airport,39.884998,-86.506699
01IL,heliport,40.458599,-87.659500
01IN,heliport,40.130901,-85.695801
01IS,small_airport,39.016201,-90.318199
01J,small_airport,30.685568,-81.906346
01K,small_airport,37.036132,-97.585330
01KS,small_airport,38.540600,-97.003304
01KY,heliport,37.051701,-88.646896
01LA,small_airport,32.639000,-91.773697
01LL,small_airport,38.125801,-89.463898
01LS,small_airport,30.722478,-91.077372
01MA,heliport,42.625099,-71.180099
01MD,seaplane_base,38.999199,-76.456001
01ME,seaplane_base,46.778900,-68.500298
01MI,heliport,43.049500,-83.679703
01MN,seaplane_base,47.899601,-92.557404
01MO,heliport,38.641701,-90.484299
01MT,small_airport,48.789101,-114.879997
01MU,heliport,32.196747,-110.775142
01NC,small_airport,34.475300,-77.581398
01NH,small_airport,43.644500,-72.086998
01NJ,heliport,40.739956,-74.136128
01NM,small_airport,33.008611,-104.540278
01NR,heliport,34.196264,-77.919917
01NV,small_airport,38.763901,-119.027000
01NY,heliport,41.692415,-73.936830
01OH,heliport,39.497455,-84.313851
01OI,heliport,40.730267,-82.802022
01OL,small_airport,34.391667,-96.690833
01PN,small_airport,40.930599,-77.738899
01PS,small_airport,41.595901,-76.029602
01SC,small_airport,35.032101,-81.252800
01TA,closed,32.694867,-97.115964
01TE,small_airport,32.737598,-96.428001
01TN,small_airport,34.995899,-89.730598
01TT,heliport,29.012067,-95.402119
01U,small_airport,38.849785,-115.634987
01UT,small_airport,38.308300,-109.396004
01VA,small_airport,39.125000,-77.925003
01WA,heliport,46.663200,-123.811996
01WI,closed,44.009328,-90.389930
01WN,heliport,48.213402,-122.684998
01WT,heliport,47.518178,-122.210908
01WY,small_airport,44.348312,-104.810600
01XA,heliport,30.007222,-97.853333
01XS,heliport,32.020199,-95.745499
02AA,small_airport,61.506147,-149.912825
02AK,small_airport,61.876907,-150.097626
02AL,small_airport,30.371500,-87.764397
02AN,small_airport,59.704223,-151.295869
02CA,heliport,33.582500,-118.128998
02CD,small_airport,34.129601,-90.524002
02CL,small_airport,34.761101,-119.058998
02CO,small_airport,37.643299,-106.046997
02CT,heliport,41.919601,-72.444504
02FA,small_airport,28.526699,-81.874802
02FD,small_airport,30.950976,-86.635555
02GA,small_airport,34.202599,-83.429001
02GE,small_airport,34.175301,-84.924400
02HI,heliport,21.358390,-157.947890
02IA,heliport,42.056099,-93.877998
02ID,small_airport,44.555500,-115.305000
02II,small_airport,40.062302,-86.210503
02IN,small_airport,40.208900,-85.540802
02IS,heliport,42.274601,-87.957298
02KS,small_airport,39.221416,-96.057072
02KT,heliport,38.181441,-83.443319
02KY,heliport,38.190282,-84.906442
02LA,heliport,32.531491,-93.659939
02LS,heliport,30.148300,-91.918999
02MA,heliport,41.419601,-70.927002
02MD,small_airport,38.672544,-76.709739
02ME,small_airport,43.537467,-70.930685
02MI,small_airport,43.157101,-85.148499
02MO,small_airport,39.049999,-91.033501
02MS,small_airport,34.095701,-90.846131
02NE,small_airport,41.074501,-96.904503
02NH,seaplane_base,44.657101,-71.219101
02NJ,closed,40.557301,-74.467102
02NM,small_airport,32.090710,-108.870735
02NR,heliport,35.592197,-77.377372
02NV,small_airport,41.299551,-118.926709
02NY,heliport,43.132599,-75.655502
02OH,small_airport,41.376400,-83.083298
02OI,small_airport,41.801998,-80.565399
02OL,heliport,34.811412,-95.307727
02OR,small_airport,45.681499,-121.316002
02P,heliport,40.403596,-77.556602
02PA,heliport,40.438301,-79.769997
02PN,heliport,40.069599,-75.455200
02PR,small_airport,18.464924,-66.363773
02RI,heliport,41.457931,-71.304886
02SC,small_airport,32.760211,-81.225872
02T,small_airport,45.769100,-112.982002
02TA,heliport,28.722177,-95.875813
02TE,heliport,32.395401,-96.864197
02TN,small_airport,35.780355,-86.585521
02UT,small_airport,41.369336,-113.841019
02VA,small_airport,38.435699,-77.857201
02VG,heliport,36.638802,-82.116699
02WA,small_airport,47.152302,-122.094002
02WI,small_airport,45.031898,-92.655800
